BRN,36.7,"Barnwell Industries, Inc."
BIR^A,44.4,"Berkshire Income Realty, Inc."
BNV,37.8,Beverly National Corporation
BMJ,2.1,Birks & Mayors Inc.
BCT,35.9,BlackRock Broad Investment Grade 2009 Term Trust Inc. (The)
RAA,8.6,BlackRock California Investment Quality Municipal Trust Inc.
BCL,72.3,BlackRock California Municipal Income Trust II
RFA,8.5,BlackRock Florida Investment Quality Municipal Trust Inc. (The
BZM,22.6,BlackRock Maryland Municipal Bond Trust
BLE,210.6,BlackRock Municipal Income Trust II
RNJ,7.8,BlackRock New Jersey Investment Quality Municipal Trust Inc.
BLJ,25.4,Blackrock New Jersey Municipal Bond Trust
RNY,12.2,BlackRock New York Investment Quality Municipal Trust Inc. (Th
BFY,46.3,BlackRock New York Municipal Income Trust II
BPS,17,BlackRock Pennsylvania Strategic Municipal Trust (The)
BHV,23.9,BlackRock Virginia Municipal Bond Trust
BDR,6.3,"Blonder Tongue Laboratories, Inc."
KAZ,65.9,"BMB Munai, Inc."
WEL,90.2,"Boots and Coots International Well Control,  Inc."
BVX,101.2,Bovie Medical Corporation
BWL/A,34,"Bowl America, Inc."
BPW,369.3,BPW Acquisition Corp
BPW/U,0,BPW Acquisition Corp
BPW/WS,0,BPW Acquisition Corp
BPZ,504.2,"BPZ Resources, Inc"
BZC,72.7,Breeze-Eastern Corporation
BTI,1561.6,"British American Tobacco  Industries, p.l.c."
CGL/A,8.3,"Cagle's, Inc."
SNG,134.7,Canadian Superior Energy Inc
CNR,10.4,CanArgo Energy Corporation
CFW,20.3,"Cano Petroleum, Inc."
CLA,298.6,Capitol Acquisition Corp
CLA/U,0,Capitol Acquisition Corp
CLA/WS,0,Capitol Acquisition Corp
CPD,205.6,"Caraco Pharmaceutical Laboratories, Ltd."
CDY,53.1,Cardero Resource Corporation
CXM,35.2,"Cardium Therapeutics, Inc."
TQ,2.5,"Cash Technologies, Inc."
ROX,3.4,"Castle Brands, Inc."
CVF,32.2,"Castle Convertible Fund, Inc."
CAV,19.7,"Cavalier Homes, Inc."
CAW,21.6,"CCA Industries, Inc."
CFK,46.3,CE Franklin Ltd.
CVM,33.6,Cel-Sci Corporation
CVP,35.9,Centerplate Inc.
CEF,1404,Central Fund of Canada Limited
GTU,157.3,Central Gold Trust
CET,307.8,Central Securities Corporation
SMC,15.2,Central Sun Mining Inc
CHQ,49.2,Challenger Energy Corp
CCF,96.3,Chase Corporation
CQP,98,"Cheniere Energy Partners, LP"
LNG,144.5,"Cheniere Energy, Inc."
CVR,11.6,Chicago Rivet & Machine Co.
CH,99.8,"Chile Fund, Inc. (The)"
CHM,68.9,China Healthcare Acquisition Corp
CHM/U,0,China Healthcare Acquisition Corp
CHM/WS,0,China Healthcare Acquisition Corp
HOL,142.4,China Holdings Acquisition Corporation
HOL/U,0,China Holdings Acquisition Corporation
HOL/WS,0,China Holdings Acquisition Corporation
SHZ,6.7,"China Shen Zhou Mining & Resources, Inc."
KUN,7.9,"China Shenghuo Pharmaceutical Holdings, Inc"
CRC,2.4,"Chromcraft Revington, Inc."
MBA,23.1,CIBT Education Group Inc.
ILB,0,Citigroup Inc.
CKX,26.3,"CKX Lands, Inc."
GLA,7.3,Clark Holdings Inc
GLA/U,0,Clark Holdings Inc
GLA/WS,0,Clark Holdings Inc
CGR,31,"Claude Resources, Inc."
UBD,4.6,Claymore Exchange-Traded Fund Trust
UEM,7.8,Claymore Exchange-Traded Fund Trust
GLV,111.6,Clough Global Allocation Fund
GLQ,169.8,Clough Global Equity Fund
GLO,468.2,Clough Global Opportunities Fund
CRV,4.6,"Coast Distribution System, Inc. (The)"
JVA,4.5,"Coffee Holding Co., Inc."
BUS,133.3,Columbus Acquisition Corp.
BUS/U,0,Columbus Acquisition Corp.
BUS/WS,0,Columbus Acquisition Corp.
CFS,15.6,COMFORCE Corp.
MOC,33.1,Command Security Corporation
BTC,64.4,Community Bankers Trust Corporation.
BTC/U,0,Community Bankers Trust Corporation.
BTC/WS,0,Community Bankers Trust Corporation.
CTT,8.5,"Competitive Technologies, Inc."
CTO,218.8,Consolidated-Tomoka Land Co.
MCF,940.7,Contango Oil & Gas Company
CUO,25.6,Continental Materials Corporation
CNU,131.5,Continucare Corp.
CMT,17.8,Core Molding Technologies Inc
CFP,66.3,Cornerstone Progressive Return Fund
CRF,20.7,"Cornerstone Strategic Return Fund, Inc. (The)"
CLM,51.7,"Cornerstone Strategic Value Fund, Inc."
ETQ,240.5,Corriente Res Inc
COR,27.3,"Cortex Pharmaceuticals, Inc."
CVU,32.9,"CPI Aerostructures, Inc."
CIK,114.8,"Credit Suisse Asset Management Income Fund, Inc."
DHY,86.4,Credit Suisse High Yield Bond Fund
CXZ,13.6,Crosshair Exploration & Mining Corp
KRU,232.3,Crusader Energy Group Inc.
KRY,44.5,Crystallex International Corporation
QBC,81.5,Cubic Energy Inc
FZN,9,Cuisine Solutions Inc
ATC,2.4,Cycle Country Accessories Corporation
GTF,6.4,"Cytomedix, Inc. New"
DXR,66.3,Daxor Corporation
DII,1.9,"Decorator Industries, Inc."
DFR,23.2,Deerfield Capital Corp.
DEJ,24.6,Dejour Enterprises Ltd
DEK,125.3,Dekania Corp
DEK/U,0,Dekania Corp
DEK/WS,0,Dekania Corp
VAZ,28.9,"Delaware Investments Arizona Municipal Income Fund, Inc."
VCF,63.6,"Delaware Investments Colorado Municipal Income Fund, Inc"
VFL,23,Delaware Investments Florida Insured Municipal Income Fund
VMM,119.4,"Delaware Investments Minnesota Municipal Income Fund II, Inc."
DLA,31.5,"Delta Apparel, Inc."
DGC,16.7,"DGSE Companies, Inc."
DPW,6,Digital Power Corporation
DXN,2,"DigitalFX International, Inc."
DMC,26.5,"Document Security Systems, Inc."
DRJ,14.6,"Dreams, Inc."
DMF,134.1,"Dreyfus Municipal Income, Inc."
DCU,5.7,"DRYCLEAN USA, Inc."
DNE,17.1,"Dune Energy, Inc."
GRF,14.7,"Eagle Capital Growth Fund, Inc."
EML,51.2,Eastern Company (The)
ELC,1.6,"Eastern Light Capital, Incorporated"
CEV,55,Eaton Vance California Municipal Income Trust
FEV,32,Eaton Vance Florida Municipal Income Trust
MIW,13,Eaton Vance Insure Michigan Municipal Bond Fund
EVM,173.4,Eaton Vance Insured California Municipal Bond Fund
EIA,31.5,Eaton Vance Insured California Municipal Bond Fund II
MAB,18.3,Eaton Vance Insured Massachusetts Municipal Bond Fund
EIM,575.1,Eaton Vance Insured Municipal Bond Fund
EIV,88.6,Eaton Vance Insured Municipal Bond Fund II
EMJ,25.7,Eaton Vance Insured New Jersey Municipal Bond Fund
ENX,146.7,Eaton Vance Insured New York Municipal Bond Fund
NYH,22.6,Eaton Vance Insured New York Municipal Bond Fund II
EIO,23.4,Eaton Vance Insured Ohio Municipal Bond Fund
EIP,25.8,Eaton Vance Insured Pennsylvania Municipal Bond Fund
EVV,1112.3,Eaton Vance Limited Duration Income Fund
MMV,24.9,Eaton Vance Massachusetts Municipal Income Trust
EMI,16.9,Eaton Vance Michigan Municipal Income Trust
EVJ,37.1,Eaton Vance New Jersey Municipal Income Trust
EVY,39.7,Eaton Vance New York Municipal Income Trust
EVO,25,Eaton Vance Ohio Municipal Income Trust
EVP,21.5,Eaton Vance Pennsylvania Municipal Income Trust
EGO,2736.5,Eldorado Gold Corp
ASY,13.2,Elecsys Corporation
ELI,2.1,"Elite Pharmaceuticals, Inc."
EGT,14.9,"Elixir Gaming Technologies, Inc"
ECF,64.2,"Ellsworth Convertible Growth and Income Fund, Inc."
LZR,43.7,Emergent Group Inc.
ETF,113.9,Emerging Markets Telecommunications Fund (The)
MSN,18.2,Emerson Radio Corporation
ERS,11.9,"Empire Resources, Inc."
END,64,Endeavor International Corporation
EXK,50,Endeavour Silver Corporation
FEN,88.3,Energy Income and Growth Fund
ESA,52.5,Energy Services Acquisition Corp
ESA/U,0,Energy Services Acquisition Corp
ESA/WS,0,Energy Services Acquisition Corp
EGX,2.8,"Engex, Inc."
ENA,8.3,Enova Systems Inc.
EST,286.6,Enterprise Acquisition Corp.
EST/U,0,Enterprise Acquisition Corp.
EST/WS,0,Enterprise Acquisition Corp.
EGI,81.8,Entree Gold Inc
ETC,7.4,Environmental Tectonics Corp.
ESP,43.5,Espey Mfg. & Electronics Corp.
EVK,13.1,"Ever-Glory International Group, Inc."
EAD,379.8,Evergreen Income Advantage Fund
ERC,429,Evergreen Multi-Sector Income Fund
ERH,103.5,Evergreen Utilities and High Income Fund
EPM,32.3,"Evolution Petroleum Corporation, Inc."
XRA,80.4,Exeter Resource Corporation
XPO,36.8,"Express-1 Expedited Solutions, Inc."
FHC,96.4,Female Health Company (The)
FPP,20.5,FieldPoint Petroleum Corporation
MXN,15.1,"First American Minnesota Municipal Income Fund II, Inc."
FNV/U,0,First Class Navigation Corporation
ISL,34.2,"First Israel Fund, Inc. (The)"
FPI,13.1,First Trust Advantage Preferred Income Fund
FCM,33,First Trust/Four Corners Senior Floating Rate Income Fund
FWV,20.9,"First West Virginia Bancorp, Inc."
FVE,48.7,"Five Star Quality Care, Inc."
BDL,6.6,"Flanigan's Enterprises, Inc."
FSI,32.2,Flexible Solutions International Inc.
FPU,65.4,Florida Public Utilities Company
FFI,3.5,"Fortune Diversified Industries, Inc."
FPB,1.3,"Fountain Powerboat Industries, Inc."
FEP,6.9,"Franklin Electronic Publishers, Inc."
FSP,1039.6,Franklin Street Properties Corp.
FTF,226.2,Franklin Templeton Limited Duration Income Trust
FOH,6.5,Frederick's of Hollywood Group
FRD,45.4,Friedman Industries Inc.
FRS,96.3,"Frisch's Restaurants, Inc."
FRG,163.1,Fronteer Development Group Inc.
FLL,20.8,"Full House Resorts, Inc."
FSN,8.6,"Fusion Telecommunications International, Inc."
FSN/WS,0,"Fusion Telecommunications International, Inc."
GLU,48.5,Gabelli Global Utility
GAN,34.1,"GAINSCO, Inc."
GSX,42,GASCO ENERGY INC
GST,70.2,Gastar Exploration
JOB,2.2,"General Employment Enterprises, Inc."
GMO,84.8,"General Moly, Inc"
GEL,342.8,"Genesis Energy, L.P."
GAC,82,Geneva Acquisition Corporation
GAC/U,0,Geneva Acquisition Corporation
GAC/WS,0,Geneva Acquisition Corporation
GGR,116.5,GeoGlobal Resources Inc.
GOK,25.9,"Geokinetics, Inc."
GPR,23.9,GeoPetro Resources Co
GHQ,436.5,GHL Acquisition Corp
GHQ/U,0,GHL Acquisition Corp
GHQ/WS,0,GHL Acquisition Corp
GQN,329.9,Global Brands Acquisition Corp
GQN/U,0,Global Brands Acquisition Corp
GQN/WS,0,Global Brands Acquisition Corp
GHC,361.8,Global Consumer Acquisition Corp
GHC/U,0,Global Consumer Acquisition Corp
GHC/WS,0,Global Consumer Acquisition Corp
GNH,3.5,"Global Energy Holdings Group, Inc"
GEE,3.4,Global Entertainment Corporation
GSB,14.5,"GlobalSCAPE, Inc."
GRZ,51.7,Gold Reserve Inc
GPH,152.5,"Golden Pond Healthcare, Inc"
GPH/U,0,"Golden Pond Healthcare, Inc"
GPH/WS,0,"Golden Pond Healthcare, Inc"
GSS,235.9,"Golden Star Resources, Ltd"
GV,9.7,Goldfield Corporation (The)
GTA,6.7,"Golf Trust of America, Inc."
GRC,520,Gorman-Rupp Company (The)
GHM,109.6,Graham Corporation
GTE,293.4,Gran Tierra Energy Inc.
GBG,260.3,"Great Basin Gold, Ltd."
GBH,5.1,"Green Builders, Inc"
GRH,103,GreenHunter Energy Inc
SIM,29.5,"Grupo Simec, S.A. de C.V."
GGA,236.9,GSC Acquisition Company
GGA/U,0,GSC Acquisition Company
GGA/WS,0,GSC Acquisition Company
GVP,94.2,"GSE Systems, Inc."
GIA,4.4,"Gulfstream International Group, Inc"
HX,1.7,Halifax Corporation
HWG,50.2,Hallwood Group Incorporated
HCM,0.8,"Hanover Capital Mortgage Holdings, Inc."
HWK,149.1,Hawk Corporation
FIT,21,Health Fitness Corporation
EAR,20.1,"HearUSA, Inc."
HEB,27.9,"Hemispherx BioPharma, Inc."
HNB,0,Heritage Bank N.A.
HSR,63,Hi-Shear Technology Corp.
TOH,631.4,"Hicks Acquisition Company I,  Inc."
TOH/U,0,"Hicks Acquisition Company I,  Inc."
TOH/WS,0,"Hicks Acquisition Company I,  Inc."
HIA,159,Highlands Acquisition Corp
HIA/U,0,Highlands Acquisition Corp
HIA/WS,0,Highlands Acquisition Corp
HLM^,51.5,Hillman Group Capital Trust
HKN,27.7,"HKN, Inc."
HMG,3.4,"HMG/Courtland Properties, Inc."
HPJ,43.3,Hong Kong Highpower Technology
HH,17.2,"Hooper Holmes, Inc."
HQS,94.6,"HQ Sustainable Maritime Industries, Inc."
HTC,141.3,Hungarian Telephone & Cable Corp.
HDY,27.1,HyperDynamics Corporation
IAO,10.3,"IA Global, Inc."
IDI,90.1,Ideation Acquisition Corp
IDI/U,0,Ideation Acquisition Corp
IDI/WS,0,Ideation Acquisition Corp
IG,7.2,"IGI Laboratories, Inc."
ILC,2.8,"iLinc Communications, Inc."
ILX,3.3,ILX Resorts Incorporated
IMR,12.5,"IMA Exploration, Inc."
IIG,47.5,iMergent Inc
IMM,2.5,"Immtech Pharmaceuticals, Inc."
IMO,29325.4,Imperial Oil Limited
IMX,2.7,Implant Sciences Corporation
IOT,23.7,Income Opportunity Realty Trust
IGC,8.5,India Globalization Capital Inc.
IGC/U,0,India Globalization Capital Inc.
IGC/WS,0,India Globalization Capital Inc.
IF,42.2,"Indonesia Fund, Inc. (The)"
IHT,5.8,InnSuites Hospitality Trust
INO,22.9,Inovio Biomedical Corporation
ISV,18.8,InSite Vision Incorporated
IDN,41.7,"Intelli-Check, Inc."
INS,4.6,Intelligent Systems Corporation
IAN,79.7,"Inter-Atlantic Financial, Inc."
IAN/U,0,"Inter-Atlantic Financial, Inc."
IAN/WS,0,"Inter-Atlantic Financial, Inc."
ILI,6.4,"Interleukin Genetics, Inc."
IAX,16.3,International Absorbents Inc.
ROY,106.7,International Realty Corporation
THM,56.7,International Tower Hill Mines Ltd
IOC,426.6,Interoil Corp
DNN,223.9,Intl Uranium Corp
IMA,1477.3,"Inverness Medical Innovations, Inc."
IMA^B,0,"Inverness Medical Innovations, Inc."
ICH,13.1,"Investors Capital Holdings, Ltd."
IPT,1.4,iParty Corporation
ISO,6.9,ISCO INTERNATIONAL INC
ILE,7.2,Isolagen Inc
ISR,4.6,"IsoRay, Inc."
ITI,53,"Iteris, Inc."
IVD,14.4,"IVAX Diagnostics, Inc."
JAV,75.8,"Javelin Pharmaceuticals, Inc."
JDO,0.7,JED Oil Inc
JEN,2.5,"Jennifer Convertibles, Inc."
JLI,12.9,"Jesup & Lamont, Inc"
KHA,155.4,KBL Healthcare Acquisition Corp. III
KHA/U,0,KBL Healthcare Acquisition Corp. III
KHA/WS,0,KBL Healthcare Acquisition Corp. III
KGN,26.2,Keegan Resources Inc
KBX,31,Kimber Resources Inc
KOG,29.5,Kodiak Oil
KOW,3.9,Kowabunga! Inc
LB,222.4,"LaBarge, Inc."
LTS,123.6,Ladenburg Thalmann Financial Services Inc
LCI,122.4,Lannett Co Inc
LAQ,115.3,"Latin America Equity Fund, Inc. (The)"
LKI,33.8,"Lazare Kaplan International, Inc."
LGL,4.3,"LGL Group, Inc."
LIA,1072.5,Liberty Acquisition Holdings Corp
LIA/U,0,Liberty Acquisition Holdings Corp
LIA/WS,0,Liberty Acquisition Holdings Corp
LGN,45.6,"Lodgian, Inc."
LEI,5.5,"Lucas Energy, Inc."
MCZ,16.5,Mad Catz Interactive Inc
MVG,218.5,Mag Silver Corporation
MAM,64.6,Maine & Maritimes Corporation
MHJ,9.2,Man Sang Holdings Inc
MHE,19.7,Massachusetts Health and Education Tax-Exempt Trust
MHH,8.6,"Mastech Holdings, Inc"
MXM,61.6,MAXXAM Inc.
MBH,211.4,MBF Healthcare Acquisition Corp.
MBH/U,0,MBF Healthcare Acquisition Corp.
MBH/WS,0,MBF Healthcare Acquisition Corp.
TVH,116.4,"Media & Entertainment Holdings, Inc"
TVH/U,0,"Media & Entertainment Holdings, Inc"
TVH/WS,0,"Media & Entertainment Holdings, Inc"
MBR,91.8,"Mercantile Bancorp, Inc. (Quincey, IL)"
IPB,19.9,"Merrill Lynch & Co., Inc."
MRM,8.4,"Merrimac Industries, Inc."
MEA,56,Metalico Inc
MMG,9.5,Metalline Mining Company
MDF,82.1,"Metropolitan Health Networks, Inc."
MXC,23.2,Mexco Energy Corporation
CCA,19.7,MFS California Insured Municipal Trust
MGT,18.9,MGT Capital Investments Inc
MDY,6029.6,MidCap SPDR Trust Series I
MSL,86.6,MidSouth Bancorp
MDW,29.8,Midway Gold Corporation
MGH,21.9,Minco Gold Corporation
MFN,255,MineFinders Corp. Ltd.
MGN,28.4,"Mines Management, Inc."
MXA,42.3,Minnesota Municipal Income Portfolio Inc.
BUF,4.9,"Minrad International, Inc."
MDM,50.9,Mountain Province Diamonds Inc.
MVF,412.7,"MuniVest Fund, Inc."
MZA,39.4,"MuniYield Arizona Fund, Inc."
NHC,658.1,National HealthCare Corporation
NHC^A,143.6,National HealthCare Corporation
NLN,6.9,National Lampoon Inc.
NBS,3.4,"Neostem, Inc."
NBS/WS,0,"Neostem, Inc."
NEP,4.5,"Nephros, Inc."
NBW,70.6,Neuberger Berman California Intermediate Municipal Fund Inc.
NDD,41.9,Neuberger Berman Dividend Advantage
NOX,62.1,Neuberger Berman Income Opportunity Fund Inc.
NBH,235,Neuberger Berman Intermediate Municipal Fund Inc.
NBO,58.3,Neuberger Berman New York Intermediate Municipal Fund Inc.
NRO,130.1,"Neuberger Berman Real Estate Securities Income Fund, Inc."
CUR,53,"Neuralstem, Inc."
UWN,10.6,"Nevada Gold & Casinos, Inc."
NSU,92.1,Nevsun Resources Ltd
GBR,8.1,"New Concept Energy, Inc"
NWD,15.8,New Dragon Asia Corporation
NEN,59.4,New England Realty Associates Limited Partnership
NGD,52.8,NEW GOLD INC.
PAL,138.7,"North American Palladium, Ltd."
PAL/WS,0,"North American Palladium, Ltd."
NHR,0,North Asia Investment Corp.
NHR/U,0,North Asia Investment Corp.
NHR/WS,0,North Asia Investment Corp.
NAK,340.6,"Northern Dynasty Minerals, Ltd."
NOG,88.6,"Northern Oil and Gas, Inc."
NXG,211.2,Northgate Minerals Corporation
NBF,9.9,"Nova Biosource Fuels, Inc."
NBY,21.9,"NovaBay Pharmaceuticals, Inc."
NVD,19.4,Novadel Pharma Inc
NG,154.2,Novagold Resources Inc New
NAQ,473.5,NRDC Acquisition Corp
NAQ/U,0,NRDC Acquisition Corp
NAQ/WS,0,NRDC Acquisition Corp
NTN,7.5,"NTN Buzztime, Inc."
NTQ,303.4,NTR Acquisition Co
NTQ/U,0,NTR Acquisition Co
NTQ/WS,0,NTR Acquisition Co
NLP,39.9,NTS Realty Holdings Limited Partnership
NFZ,14.4,Nuveen Arizona Dividend Advantage Municipal Fund
NKR,24.4,Nuveen Arizona Dividend Advantage Municipal Fund 2
NXE,28.6,Nuveen Arizona Dividend Advantage Municipal Fund 3
NVX,136.9,Nuveen California Dividend Advantage Municipal Fund 2
NZH,213.8,Nuveen California Dividend Advantage Municipal Fund 3
NCU,51.1,Nuveen California Premium Income Municipal Fund
NFC,28.2,Nuveen Connecticut Dividend Advantage Municipal Fund
NGK,25.5,Nuveen Connecticut Dividend Advantage Municipal Fund 2
NGO,44.1,Nuveen Connecticut Dividend Advantage Municipal Fund 3
NXZ,336.1,Nuveen Dividend Advantage Municipal Fund 2
NZF,405,Nuveen Dividend Advantage Municipal Fund 3
NZX,19.3,Nuveen Georgia Dividend Advantage Municipal Fund
NKG,42.6,Nuveen Georgia Dividend Advantage Municipal Fund 2
NPG,38,Nuveen Georgia Premium Income Municipal Fund
NKL,156.7,Nuveen Insured California Dividend Advantage Municipal Fund
NKX,60.9,Nuveen Insured California Tax-Free Advantage Municipal Fund
NVG,341.7,Nuveen Insured Dividend Advantage Municipal Fund
NWF,37.8,Nuveen Insured Florida Tax-Free Advantage Municipal Fund
NGX,31,Nuveen Insured Massachusetts Tax-Free Advantage Municipal Fund
NKO,80.4,Nuveen Insured New York Dividend Advantage Municipal Fund
NRK,36.4,Nuveen Insured New York Tax-Free Advantage Municipal Fund
NEA,192.7,Nuveen Insured Tax-Free Advantage Municipal Fund
NFM,38.5,Nuveen Maryland Dividend Advantage Municipal Fund
NZR,42.1,Nuveen Maryland Dividend Advantage Municipal Fund 2
NWI,52.2,Nuveen Maryland Dividend Advantage Municipal Fund 3
NMB,20.8,Nuveen Massachusetts Dividend Advantage Municipal Fund
NZW,19,Nuveen Michigan Dividend Advantage Municipal Fund
NOM,27.9,Nuveen Missouri Premium Income Municipal Fund
NMZ,215.9,Nuveen Municipal High Income Opportunity Fund
NXJ,59.6,Nuveen New Jersey Dividend Advantage Municipal Fund
NUJ,43,Nuveen New Jersey Dividend Advantage Municipal Fund 2
NXK,62.2,Nuveen New York Dividend Advantage Municipal Fund 2
NRB,28.2,Nuveen North Carolina Dividend Advantage Municipal Fund
NNO,41.1,Nuveen North Carolina Dividend Advantage Municipal Fund 2
NII,44.4,Nuveen North Carolina Dividend Advantage Municipal Fund 3
NXI,46.2,Nuveen Ohio Dividend Advantage Municipal Fund
NBJ,29.4,Nuveen Ohio Dividend Advantage Municipal Fund 2
NVJ,23.5,Nuveen Ohio Dividend Advantage Municipal Fund 3
NXM,32.2,Nuveen Pennsylvania Dividend Advantage Municipal Fund
NVY,36.1,Nuveen Pennsylvania Dividend Advantage Municipal Fund 2
JRS,143.8,Nuveen Real Estate Fund
NGB,32.5,Nuveen Virginia Dividend Advantage Municipal Fund
NNB,60.2,Nuveen Virginia Dividend Advantage Municipal Fund 2
OKN,193.6,"Oceanaut, Inc."
OKN/U,0,"Oceanaut, Inc."
OKN/WS,0,"Oceanaut, Inc."
BQI,175.2,Oilsands Quest Inc
BQI/WS,0,Oilsands Quest Inc
ONT,34.4,"On2 Technologies, Inc."
OPK,321.9,Opko Health Inc
TIS,55.4,Orchids Paper Products Company
OZN,163.7,Orezone Res Inc
OHB,22.2,"Orleans Homebuilders, Inc."
ORS,10.4,"Orsus Xelent Technolgies, Inc."
OFI,66.5,"Overhill Farms, Inc."
NLX,170.8,Overture Acquisition Corp.
NLX/U,0,Overture Acquisition Corp.
NLX/WS,0,Overture Acquisition Corp.
PHF,47.6,"Pacholder High Yield Fund, Inc."
PBM,39.2,Pacific Booker Minerals Inc
PET^A,14.5,Pacific Enterprises
PET^B,7.4,Pacific Enterprises
PET^C,22.1,Pacific Enterprises
PET^D,15.5,Pacific Enterprises
PCG^A,144.6,Pacific Gas & Electric Co.
PCG^B,28.4,Pacific Gas & Electric Co.
PCG^C,8.4,Pacific Gas & Electric Co.
PCG^D,37.3,Pacific Gas & Electric Co.
PCG^E,25.4,Pacific Gas & Electric Co.
PCG^G,15.5,Pacific Gas & Electric Co.
PCG^H,11.9,Pacific Gas & Electric Co.
PCG^I,7.7,Pacific Gas & Electric Co.
PMU,16.4,Pacific Rim Mining Corp New
PPW^,10.8,PacifiCorp
PTN,7.8,"Palatin Technologies, Inc."
PTG,5.5,"Paragon Technologies, Inc."
PZG,26.5,Paramount Gold and Silver Corp.
PRK,1002,Park National Corporation
PAE,2.6,Peace Arch Entertainment Group Inc.
PRC,12.1,Petro Resources Corporation
PED,0,Petroflow Energy Ltd.
PIP,59.5,"PharmAthene, Inc"
PIP/WS,0.8,"PharmAthene, Inc"
PHC,26.2,"PHC, Inc."
PXG,2.6,"Phoenix Footwear Group, Inc."
PNS,3.4,"Pinnacle Data Systems, Inc."
HNW,97.1,Pioneer Diversified High Income Trust
PDC,278.4,Pioneer Drilling Co
PW,21.7,Pittsburgh & West Virginia Railroad
PLG,95.2,Platinum Group Metals Ltd.
PMK,44,PMA Capital Corporation
PCC,80.3,PMC Commercial Trust
TKP,170.6,Polaris Acquisition Corporation
TKP/U,0,Polaris Acquisition Corporation
TKP/WS,0,Polaris Acquisition Corporation
PLM,91.8,Polymet Mining Corp.
PDL/A,1.3,Presidential Realty Corporation
PDL/B,4.9,Presidential Realty Corporation
PRW,4.3,"Pro-Pharmaceuticals, Inc."
